dataset,model,run_id,accuracy,precision,recall,f1,roc_auc,best_params
statistical,LogisticRegression,9,0.7444933920704846,0.7461928934010152,0.9483870967741935,0.8352272727272727,0.6230286738351255,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,10,0.7577092511013216,0.7525252525252525,0.9612903225806452,0.8441926345609065,0.617652329749104,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,KNN,1,0.73568281938326,0.7411167512690355,0.9419354838709677,0.8295454545454546,0.673163082437276,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}"
statistical,KNN,2,0.7577092511013216,0.7631578947368421,0.9354838709677419,0.8405797101449275,0.691084229390681,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,3,0.7577092511013216,0.7525252525252525,0.9612903225806452,0.8441926345609065,0.6727150537634409,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,4,0.7577092511013216,0.7551020408163265,0.9548387096774194,0.8433048433048433,0.6458781362007169,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,5,0.7444933920704846,0.7539267015706806,0.9290322580645162,0.8323699421965318,0.6937724014336918,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,6,0.7797356828193832,0.7611940298507462,0.9870967741935484,0.8595505617977528,0.6100806451612902,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,7,0.748898678414097,0.7525773195876289,0.9419354838709677,0.836676217765043,0.6957437275985663,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,8,0.73568281938326,0.7435897435897436,0.9354838709677419,0.8285714285714286,0.6618279569892472,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,KNN,9,0.7268722466960352,0.743455497382199,0.9161290322580645,0.8208092485549133,0.6323924731182795,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
statistical,KNN,10,0.7533039647577092,0.7564766839378239,0.9419354838709677,0.8390804597701149,0.6378584229390681,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
statistical,RandomForest,1,0.748898678414097,0.7578947368421053,0.9290322580645162,0.8347826086956521,0.6748655913978494,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
statistical,RandomForest,2,0.801762114537445,0.7894736842105263,0.967741935483871,0.8695652173913043,0.7244623655913979,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
statistical,RandomForest,3,0.762114537444934,0.7563451776649747,0.9612903225806452,0.8465909090909091,0.6189516129032258,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}"
statistical,RandomForest,4,0.7709251101321586,0.7587939698492462,0.9741935483870968,0.8531073446327684,0.6340501792114696,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}"
statistical,RandomForest,5,0.748898678414097,0.7606382978723404,0.9225806451612903,0.8338192419825073,0.7023297491039426,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
statistical,RandomForest,6,0.7400881057268722,0.7526315789473684,0.9225806451612903,0.8289855072463768,0.6151433691756273,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}"
statistical,RandomForest,7,0.775330396475771,0.7653061224489796,0.967741935483871,0.8547008547008547,0.7009856630824373,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
statistical,RandomForest,8,0.7533039647577092,0.751269035532995,0.9548387096774194,0.8409090909090909,0.6311827956989247,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
statistical,RandomForest,9,0.7533039647577092,0.7564766839378239,0.9419354838709677,0.8390804597701149,0.6707885304659498,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}"
statistical,RandomForest,10,0.7665198237885462,0.7628865979381443,0.9548387096774194,0.8481375358166189,0.6275985663082437,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
